epoch,step,test_ece,test_gate_H,test_lambda_,test_loss,test_mAP,test_rec1,test_w_image,test_w_text,train_ece,train_gate_H,train_lambda_,train_loss,train_mAP,train_rec1,train_w_image,train_w_text,val_ece,val_gate_H,val_lambda_,val_loss,val_mAP,val_rec1,val_w_image,val_w_text
0,15,,,,,,,,,,,,,,,,,0.00291216722689569,0.6922423839569092,0.0,0.08846143633127213,0.44224244356155396,0.5,0.47965091466903687,0.5203490853309631
0,15,,,,,,,,,0.007467110641300678,0.6923959255218506,0.0,0.0907399132847786,0.49775606393814087,0.4880000054836273,0.4829408526420593,0.5170591473579407,,,,,,,,
1,31,,,,,,,,,,,,,,,,,0.002984172198921442,0.6930117607116699,0.019999999552965164,0.07455329596996307,0.44909095764160156,0.5199999809265137,0.49374809861183167,0.5062519907951355
1,31,,,,,,,,,0.005068835336714983,0.6927090287208557,0.019999997690320015,0.07557126879692078,0.5080285668373108,0.49399998784065247,0.5005294680595398,0.4994705319404602,,,,,,,,
2,47,,,,,,,,,,,,,,,,,0.003036803100258112,0.6931174993515015,0.03999999910593033,0.06065387651324272,0.44909095764160156,0.5099999904632568,0.4973841905593872,0.5026158094406128
2,47,,,,,,,,,0.006435716524720192,0.6930124163627625,0.03999999538064003,0.06228945404291153,0.5120233297348022,0.5009999871253967,0.5000346302986145,0.4999653697013855,,,,,,,,
3,63,,,,,,,,,,,,,,,,,0.0030857420060783625,0.6931386590003967,0.05999999865889549,0.046756237745285034,0.44909095764160156,0.5099999904632568,0.49869000911712646,0.5013100504875183
3,63,,,,,,,,,0.005334718618541956,0.6931185126304626,0.05999999865889549,0.04779474809765816,0.5232595205307007,0.5099999904632568,0.4997195899486542,0.5002803802490234,,,,,,,,
4,79,,,,,,,,,,,,,,,,,0.00314230564981699,0.6931436061859131,0.07999999821186066,0.032857175916433334,0.44909095764160156,0.5099999904632568,0.4999833405017853,0.5000166893005371
4,79,,,,,,,,,0.006168197840452194,0.6931384801864624,0.07999999076128006,0.03426602482795715,0.5214229226112366,0.5239999890327454,0.49985334277153015,0.500146746635437,,,,,,,,
5,80,0.006153087597340345,0.6931440830230713,0.0,0.0895678922533989,0.537514328956604,0.49000000953674316,0.500057578086853,0.4999423921108246,,,,,,,,,,,,,,,,
