epoch,step,train_ece,train_gate_H,train_lambda_,train_loss,train_mAP,train_rec1,train_w_image,train_w_text,val_ece,val_gate_H,val_lambda_,val_loss,val_mAP,val_rec1,val_w_image,val_w_text
0,15,,,,,,,,,0.003242858685553074,0.6914250254631042,0.0,0.08841480314731598,0.5065627098083496,0.5299999713897705,0.528602123260498,0.4713978171348572
0,15,0.0051343319937586784,0.6927423477172852,0.0,0.08931899070739746,0.48162323236465454,0.4740000069141388,0.5101079344749451,0.4898921251296997,,,,,,,,
1,31,,,,,,,,,0.003279718104749918,0.69309401512146,0.019999999552965164,0.0745316743850708,0.504243791103363,0.5400000214576721,0.49910247325897217,0.5008975267410278
1,31,0.005040398333221674,0.6924175024032593,0.019999997690320015,0.07534854859113693,0.4619617760181427,0.4830000102519989,0.49992769956588745,0.5000722408294678,,,,,,,,
2,47,,,,,,,,,0.003355363616719842,0.6931027770042419,0.03999999910593033,0.060623425990343094,0.5014612078666687,0.5299999713897705,0.4964549243450165,0.5035450458526611
2,47,0.007362835109233856,0.6929773688316345,0.03999999538064003,0.06255067884922028,0.48263171315193176,0.49399998784065247,0.5016003251075745,0.49839967489242554,,,,,,,,
3,63,,,,,,,,,0.0034057486336678267,0.6931344866752625,0.05999999865889549,0.046730026602745056,0.4931133985519409,0.5199999809265137,0.49816107749938965,0.5018388628959656
3,63,0.006252671126276255,0.6931076049804688,0.05999999865889549,0.048031602054834366,0.4998975098133087,0.49799999594688416,0.5004690885543823,0.4995308816432953,,,,,,,,
4,79,,,,,,,,,0.003457503393292427,0.6931421756744385,0.07999999821186066,0.032833922654390335,0.4931133985519409,0.5199999809265137,0.4991280436515808,0.5008718967437744
4,79,0.00538251968100667,0.693133533000946,0.07999999076128006,0.03365113586187363,0.48992353677749634,0.503000020980835,0.4999936521053314,0.5000063180923462,,,,,,,,
